att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,class
0,44,0.056443,0.59,0.439155,0.14,0.003467,0.23,0.422915,0.59,0.414912,1
0.021277,20,0.051699,0.02,0.415055,0.13,0.003467,0.11,0.422915,0.06,0.414912,1
0.042553,12,0.051489,0.07,0.385004,0,0.003467,0.14,0.422915,0.03,0.414912,1
0.06383,42,0.045485,0.06,0.314639,0.08,0.003467,0.12,0.422915,0.01,0.414912,1
0.085106,2,0.042482,0.05,0.251116,0.07,0.003467,0.06,0.422915,0.05,0.414912,0
0.106383,41,0.041161,0.14,0.207528,0,0.003467,0.1,0.422915,0.05,0.414912,0
0.12766,37,0.041161,0.11,0.171824,0.02,0.003467,0,0.422915,0.02,0.414912,0
0.148936,8,0.041161,0.07,0.152782,0,0.003467,0.15,0.422915,0.14,0.414912,0
0.170213,47,0.041161,0.01,0.13493,0.15,0.003467,0.03,0.422915,0.11,0.414912,0
0.191489,4,0.041161,0.04,0.140583,0.14,0.003467,0.04,0.422915,0.1,0.414912,0
0.212766,10,0.044374,0.01,0.168997,0.04,0.003467,0.13,0.422915,0,0.414912,1
0.234043,8,0.049868,0.15,0.212437,0,0.003467,0.14,0.422915,0.05,0.414912,1
0.255319,8,0.051489,0.04,0.298721,0.06,0.003467,0.12,0.422915,0.05,0.414912,1
0.276596,14,0.042482,0.08,0.39036,0.13,0.003467,0.04,0.422915,0.08,0.414912,0
0.297872,14,0.040861,0.13,0.402261,0.1,0.003467,0.04,0.422915,0.04,0.414912,0
0.319149,10,0.040711,0.03,0.462214,0.05,0.003467,0.02,0.422915,0.11,0.414912,0
0.340426,26,0.040861,0.12,0.488248,0,0.003467,0.01,0.422915,0.03,0.414912,0
0.361702,32,0.040711,0.07,0.493306,0.07,0.003467,0.09,0.422915,0.1,0.414912,0
0.382979,12,0.041041,0.1,0.53258,0.02,0.003467,0.04,0.422915,0.09,0.414912,0
0.404255,45,0.041161,0.15,0.546415,0.03,0.003467,0.12,0.422915,0.08,0.414912,0
0.425532,0,0.044374,0.15,0.53496,0.09,0.003467,0.03,0.422915,0.14,0.414912,1
0.446809,49,0.044374,0.03,0.51681,0.04,0.003467,0.06,0.422915,0.06,0.414912,1
0.468085,33,0.044374,0.09,0.513984,0.01,0.003467,0.13,0.422915,0.04,0.414912,1
0.489362,30,0.045485,0.11,0.513835,0.13,0.003467,0.15,0.422915,0.02,0.414912,1
0.510638,0,0.044374,0.13,0.505356,0.07,0.003467,0.04,0.422915,0.08,0.414912,1
0.531915,40,0.044374,0.07,0.497917,0.09,0.003467,0.09,0.422915,0.07,0.414912,1
0.553191,0,0.042482,0.1,0.499554,0.09,0.003467,0.05,0.422915,0.14,0.414912,0
0.574468,36,0.044374,0.1,0.491669,0.14,0.003467,0.02,0.422915,0.01,0.414912,1
0.595745,12,0.044374,0.08,0.489735,0.12,0.003467,0.04,0.422915,0.12,0.414912,1
0.617021,5,0.042482,0.03,0.47709,0.07,0.003467,0.11,0.422915,0.15,0.414912,0
0.638298,36,0.040861,0.15,0.466825,0.11,0.003467,0.05,0.422915,0.15,0.414912,0
0.659574,7,0.041161,0.03,0.478132,0.04,0.003467,0.08,0.422915,0.11,0.414912,0
0.680851,7,0.041161,0.08,0.484975,0.12,0.003467,0.09,0.422915,0.15,0.414912,0
0.702128,25,0.041161,0.02,0.503124,0.05,0.003467,0.03,0.422915,0.12,0.414912,0
0.723404,20,0.042482,0.09,0.55296,0.02,0.003467,0.02,0.422915,0.1,0.414912,0
0.744681,20,0.044374,0.13,0.612318,0.12,0.003467,0.02,0.422915,0.1,0.414912,1
0.765957,16,0.041041,0.12,0.587623,0.04,0.003467,0.13,0.422915,0.09,0.414912,0
0.787234,49,0.040711,0.13,0.546861,0.07,0.003467,0.01,0.422915,0.01,0.414912,0
0.808511,49,0.040711,0.08,0.497025,0.05,0.003467,0.09,0.422915,0.07,0.414912,0
0.829787,1,0.040861,0.05,0.470693,0.14,0.003467,0.12,0.422915,0.15,0.414912,0
0.851064,11,0.041041,0.09,0.446296,0.12,0.003467,0.07,0.422915,0.08,0.414912,0
0.87234,37,0.042482,0.08,0.412229,0,0.003467,0,0.422915,0.03,0.414912,0
0.893617,26,0.041161,0.05,0.368789,0.05,0.003467,0.12,0.422915,0.02,0.414912,0
0.914894,36,0.051489,0.11,0.34573,0.06,0.003467,0.03,0.422915,0.05,0.414912,1
0.93617,9,0.056443,0.1,0.40479,0.01,0.003467,0.1,0.422915,0.1,0.414912,1
0.957447,15,0.054642,0.13,0.42889,0.11,0.003467,0.08,0.422915,0,0.414912,1
0.978723,44,0.059235,0.04,0.445254,0.03,0.003467,0.07,0.422915,0.09,0.414912,1
1,35,0.054642,0.07,0.44094,0.09,0.003467,0.12,0.422915,0.07,0.414912,1
0,16,0.059235,0.09,0.442874,0.11,0.003467,0.08,0.422915,0.09,0.414912,1
0.021277,16,0.056443,0.07,0.41089,0.07,0.003467,0.05,0.422915,0.08,0.414912,1
0.042553,45,0.051489,0.1,0.378905,0,0.003467,0.11,0.422915,0.15,0.414912,1
0.06383,25,0.044374,0.05,0.316721,0.07,0.003467,0.03,0.422915,0.05,0.414912,0
0.085106,30,0.041041,0.09,0.257959,0.06,0.003467,0.11,0.422915,0.01,0.414912,0
0.106383,34,0.041161,0.15,0.214073,0.08,0.003467,0.06,0.422915,0.06,0.414912,0
0.12766,18,0.041161,0,0.178816,0.1,0.003467,0.12,0.422915,0.01,0.414912,0
0.148936,16,0.040951,0.1,0.151889,0.03,0.003467,0.15,0.422915,0.08,0.414912,0
0.170213,12,0.041011,0.15,0.1385,0.02,0.003467,0.11,0.422915,0.1,0.414912,0
0.191489,17,0.041041,0.07,0.142071,0.13,0.003467,0.12,0.422915,0.06,0.414912,0
0.212766,48,0.042482,0.1,0.171675,0.01,0.003467,0.13,0.422915,0.07,0.414912,0
0.234043,19,0.051489,0.08,0.214519,0.01,0.003467,0.11,0.422915,0.05,0.414912,1
0.255319,33,0.051489,0,0.30244,0,0.003467,0.05,0.422915,0.14,0.414912,1
0.276596,10,0.051489,0.11,0.393038,0.09,0.003467,0.13,0.422915,0.01,0.414912,1
0.297872,0,0.040861,0.11,0.395567,0.01,0.003467,0.05,0.422915,0.12,0.414912,0
0.319149,43,0.040861,0.13,0.456561,0.03,0.003467,0.13,0.422915,0.03,0.414912,0
0.340426,6,0.040861,0.15,0.487504,0.06,0.003467,0.06,0.422915,0.08,0.414912,0
0.361702,49,0.040861,0.15,0.488991,0.09,0.003467,0.02,0.422915,0.08,0.414912,0
0.382979,12,0.041041,0.09,0.52886,0.09,0.003467,0.05,0.422915,0.05,0.414912,0
0.404255,8,0.041041,0.13,0.533323,0.14,0.003467,0.05,0.422915,0,0.414912,0
0.425532,12,0.041041,0.12,0.519935,0.14,0.003467,0.15,0.422915,0.06,0.414912,0
0.446809,27,0.042362,0.02,0.502529,0.13,0.003467,0.09,0.422915,0.11,0.414912,0
0.468085,18,0.042482,0.05,0.491818,0.07,0.003467,0.1,0.422915,0.01,0.414912,0
0.489362,18,0.044374,0.01,0.486909,0.11,0.003467,0.12,0.422915,0.06,0.414912,0
0.510638,24,0.044374,0.09,0.480363,0.09,0.003467,0.01,0.422915,0.08,0.414912,0
0.531915,30,0.042482,0.06,0.477388,0.03,0.003467,0.01,0.422915,0.04,0.414912,0
0.553191,23,0.042482,0.02,0.477388,0.13,0.003467,0.02,0.422915,0.04,0.414912,0
0.574468,23,0.042482,0.02,0.47114,0.03,0.003467,0.07,0.422915,0.03,0.414912,0
0.595745,46,0.041041,0,0.462065,0.03,0.003467,0.1,0.422915,0.14,0.414912,0
